,Link,Name,Description,Price,Sale_Price
155,https://www.nike.com/in/t/paul-george-clippers-icon-edition-2020-nba-swingman-jersey-0KknPV/CW3668-403,Paul George Clippers Icon Edition 2020,Nike NBA Swingman Jersey,"4,995","3,997"
156,https://www.nike.com/in/t/dri-fit-golf-shorts-QNrCtG/CU9741-010,Nike Dri-FIT,Men's Golf Shorts,"3,295","2,637"
157,https://www.nike.com/in/t/sb-nyjah-free-2-skate-shoes-cXNdqq/CU9220-700,Nike SB Nyjah Free 2,Skate Shoes,"8,195","6,557"
158,https://www.nike.com/in/t/dri-fit-one-mid-rise-leggings-0W6tv2/DO3801-622,Nike Dri-FIT One,Women's Mid-Rise Leggings,"2,795","2,237"
159,https://www.nike.com/in/t/liverpool-fc-2021-22-match-third-dri-fit-adv-football-shirt-BDjgCc/DB5889-704,Liverpool F.C. 2021/22 Match Third,Men's Nike Dri-FIT ADV Football Shirt,"7,995","6,397"
160,https://www.nike.com/in/t/zoomx-superrep-surge-endurance-class-shoe-qZ51xw/CU7627-093,Nike ZoomX SuperRep Surge,Men's Endurance Class Shoe,"12,495","9,997"
161,https://www.nike.com/in/t/offcourt-slides-kJDhS7/BQ4632-605,Nike Offcourt,Women's Slides,"2,495","1,997"
162,https://www.nike.com/in/t/yoga-high-waisted-7-8-leggings-bwC0g8/CU5294-010,Nike Yoga,Women's High-Waisted 7/8 Leggings,"3,095","2,477"
163,https://www.nike.com/in/t/dri-fit-icon-clash-training-tank-fr8XqP/DN6157-010,Nike Dri-FIT Icon Clash,Women's Training Tank,"1,795","1,437"
164,https://www.nike.com/in/t/yoga-dri-fit-air-t-shirt-rF8JCd/DM5685-045,Nike Yoga Dri-FIT A.I.R.,Men's T-Shirt,"1,795","1,437"
165,https://www.nike.com/in/t/jordan-jumpman-trousers-7vVBkS/DC9663-010,Jordan Jumpman,Men's Trousers,"4,295","3,437"
166,https://www.nike.com/in/t/renew-serenity-run-road-running-shoes-BVzhTq/DB0522-002,Nike Renew Serenity Run,Women's Road Running Shoes,"6,795","5,437"
